20,Orcadian,OrkneyIslands,EUROPE,
21,Adygei,Russia-Caucasus,EUROPE,
22,Russian,Russia,EUROPE,
24,Basque,France,EUROPE,
25,French,France,EUROPE,
27,Italian,Italy-Bergamo,EUROPE,
28,Sardinian,Italy,EUROPE,
29,Tuscan,Italy,EUROPE,
34,Mozabite,Algeria-Mzab,MIDDLE_EAST,
36,Bedouin,Israel-Negev,MIDDLE_EAST,
37,Druze,Israel-Carmel,MIDDLE_EAST,
38,Palestinian,Israel-Central,MIDDLE_EAST,
50,Balochi,Pakistan,CENTRAL_SOUTH_ASIA,
51,Brahui,Pakistan,CENTRAL_SOUTH_ASIA,
52,Burusho,Pakistan,CENTRAL_SOUTH_ASIA,
54,Hazara,Pakistan,CENTRAL_SOUTH_ASIA,
56,Kalash,Pakistan,CENTRAL_SOUTH_ASIA,
57,Makrani,Pakistan,CENTRAL_SOUTH_ASIA,
58,Pathan,Pakistan,CENTRAL_SOUTH_ASIA,
59,Sindhi,Pakistan,CENTRAL_SOUTH_ASIA,
71,Melanesian,Bougainville,OCEANIA,
75,Papuan,NewGuinea,OCEANIA,
81,Colombian,Colombia,AMERICA,
82,Karitiana,Brazil,AMERICA,
83,Surui,Brazil,AMERICA,
86,Maya,Mexico,AMERICA,
87,Pima,Mexico,AMERICA,
430,BantuSouthAfrica,SouthAfrica,AFRICA,
430,BantuSouthAfrica,Lesotho,AFRICA,
430,BantuSouthAfrica,BotswanaOrNamibia,AFRICA,
430,BantuSouthAfrica,Angola,AFRICA,
430,BantuSouthAfrica,SouthAfrica,AFRICA,
430,BantuSouthAfrica,BotswanaOrNamibia,AFRICA,
441,BantuKenya,Kenya,AFRICA,
464,Mandenka,Senegal,AFRICA,
465,Yoruba,Nigeria,AFRICA,
488,BiakaPygmy,CentralAfricanRepublic,AFRICA,
489,MbutiPygmy,Congo,AFRICA,
494,San,Namibia,AFRICA,
601,Han,China,EAST_ASIA,
602,Han-NChina,China,EAST_ASIA,
606,Dai,China,EAST_ASIA,
607,Daur,China,EAST_ASIA,
608,Hezhen,China,EAST_ASIA,
611,Lahu,China,EAST_ASIA,
612,Miao,China,EAST_ASIA,
613,Oroqen,China,EAST_ASIA,
615,She,China,EAST_ASIA,
616,Tujia,China,EAST_ASIA,
617,Tu,China,EAST_ASIA,
618,Xibo,China,EAST_ASIA,
619,Yi,China,EAST_ASIA,
622,Mongola,China,EAST_ASIA,
625,Naxi,China,EAST_ASIA,
629,Uygur,China,CENTRAL_SOUTH_ASIA,
677,Cambodian,Cambodia,EAST_ASIA,
684,Japanese,Japan,EAST_ASIA,
699,Yakut,Siberia,EAST_ASIA,
